time;id;creation;conclusion;client_color;server_color
19.2;9;0;19.2;blue;blue
358.5;9;49.2;358.5;blue;blue
401.9;12;0;401.9;blue;blue
441.4;12;431.9;441.4;blue;blue
517.1;12;471.4;517.1;blue;blue
677.8;12;547.1;677.8;blue;blue
761.6;12;707.8;761.6;blue;blue
825.8;12;791.6;825.8;blue;blue
856.8;9;388.5;856.8;blue;blue
860.5;12;855.8;860.5;blue;blue
890.7;12;890.5;890.7;blue;blue
921.3;9;886.8;921.3;blue;blue
923.8;12;920.7;923.8;blue;blue
1696.4;9;951.3;1696.4;blue;blue
1970.7;9;1726.4;1970.7;blue;blue
2060;9;2000.7;2060;blue;blue
2256.6;12;953.8;2256.6;blue;blue
2298.7;12;2286.6;2298.7;blue;blue
2367.8;12;2328.7;2367.8;blue;blue
2671.4;12;2397.8;2671.4;blue;blue
2773.9;9;2090;2773.9;blue;blue
2857.9;12;2701.4;2857.9;blue;blue
3259.8;9;2803.9;3259.8;blue;blue
