time;id;creation;conclusion;client_color;server_color
117.2;11;0;117.2;blue;blue
147.6;3;0;147.6;blue;blue
498.2;11;147.3;498.2;blue;blue
530.2;3;177.6;530.2;blue;blue
576.1;11;528.2;576.1;blue;blue
757.2;11;606.1;757.2;blue;blue
839.4;3;560.2;839.4;blue;blue
1148.7;3;869.4;1148.7;blue;blue
1366.1;3;1178.7;1366.1;blue;blue
1412.9;3;1396.1;1412.9;blue;blue
1731.1;3;1442.9;1731.1;blue;blue
1828.3;3;1761.1;1828.3;blue;blue
1915.3;3;1858.3;1915.3;blue;blue
2222.2;3;1945.3;2222.2;blue;blue
3359.9;3;2252.2;3359.9;blue;blue
