time;id;creation;conclusion;client_color;server_color
39.4;9;0;39.4;red;blue
120.1;7;0;120.1;blue;blue
216.9;4;0;216.9;blue;blue
266.9;4;246.9;266.9;blue;blue
408.6;4;296.9;408.6;blue;blue
478.9;4;438.6;478.9;blue;blue
619.9;7;150.1;619.9;blue;blue
677.5;7;649.9;677.5;blue;blue
708.1;7;707.5;708.1;blue;blue
820.5;15;0;820.5;blue;blue
852.5;15;850.5;852.5;blue;blue
882.7;15;882.5;882.7;blue;blue
968.1;7;738.1;968.1;blue;blue
1030;7;998.1;1030;blue;blue
1064.1;4;508.9;1064.1;blue;blue
1719.4;4;1094.1;1719.4;blue;blue
1945.9;15;912.7;1945.9;blue;blue
2048.6;4;1749.4;2048.6;blue;blue
2245.4;7;1060;2245.4;blue;blue
2339.9;7;2275.4;2339.9;blue;blue
2425.1;15;1975.9;2425.1;blue;blue
2473.7;7;2369.9;2473.7;blue;blue
2480.8;4;2078.6;2480.8;blue;blue
2792.3;15;2455.1;2792.3;blue;blue
2823.5;15;2822.3;2823.5;blue;blue
2863.3;15;2853.5;2863.3;blue;blue
3016.3;7;2503.7;3016.3;blue;blue
3150.2;4;2510.8;3150.2;blue;blue
3290.1;15;2893.3;3290.1;blue;blue
3320.3;15;3320.1;3320.3;blue;blue
3478.9;7;3046.3;3478.9;blue;blue
