time;id;creation;conclusion;client_color;server_color
130.9;2;0;130.9;blue;blue
229.4;4;0;229.4;blue;blue
397.2;4;259.5;397.2;blue;blue
486.4;4;427.2;486.4;blue;blue
871.3;4;516.4;871.3;blue;blue
918.2;4;901.3;918.2;blue;blue
1141.1;13;0;1141.1;blue;blue
1187.3;2;160.9;1187.3;blue;blue
1275.7;2;1217.3;1275.7;blue;blue
1392.4;2;1305.7;1392.4;blue;blue
1434.9;2;1422.4;1434.9;blue;blue
2030.2;4;948.2;2030.2;blue;blue
2168.9;2;1464.9;2168.9;blue;blue
2256.7;13;1171.1;2256.7;blue;blue
2556.6;13;2286.7;2556.6;blue;blue
2727.5;13;2586.6;2727.5;blue;blue
2734.6;2;2198.9;2734.6;blue;blue
2867.4;13;2757.5;2867.4;blue;blue
3095.7;2;2764.6;3095.7;blue;blue
3107.1;13;2897.4;3107.1;blue;blue
3284;2;3125.7;3284;blue;blue
3413;13;3137.1;3413;blue;blue
