time;id;creation;conclusion;client_color;server_color
34.3;4;0;34.3;blue;blue
98.1;4;64.3;98.1;blue;blue
276.3;4;128.1;276.3;blue;blue
351;12;0;351;blue;blue
381.3;12;381;381.3;blue;blue
587.6;4;306.3;587.6;blue;blue
617.7;4;617.6;617.7;blue;blue
693.7;12;411.3;693.7;blue;blue
981.6;5;0;981.6;blue;blue
1529.1;4;647.7;1529.1;blue;blue
1635.5;12;723.7;1635.5;blue;blue
1976.6;12;1665.5;1976.6;blue;blue
2015.5;12;2006.6;2015.5;blue;blue
2164;12;2045.5;2164;blue;blue
2229.9;12;2194;2229.9;blue;blue
2260;12;2259.9;2260;blue;blue
2382.9;12;2290;2382.9;blue;blue
2413.1;12;2412.9;2413.1;blue;blue
2417.5;5;1011.6;2417.5;blue;blue
2448.5;12;2443.1;2448.5;blue;blue
2477.6;4;1559.1;2477.6;blue;blue
2826.6;12;2478.5;2826.6;blue;blue
3213.7;4;2507.6;3213.7;blue;blue
3267.9;12;2856.6;3267.9;blue;blue
3298.4;4;3243.7;3298.4;blue;blue
3314.6;5;2447.5;3314.6;blue;blue
3332.1;12;3297.9;3332.1;blue;blue
