time;id;creation;conclusion;client_color;server_color
54.3;15;0;54.3;blue;blue
87.2;11;0;87.2;blue;blue
163.1;11;117.2;163.1;blue;blue
228.5;15;84.3;228.5;blue;blue
321.4;11;193.1;321.4;blue;blue
415.7;15;258.5;415.7;blue;blue
445.8;15;445.7;445.8;blue;blue
529.7;15;475.8;529.7;blue;blue
846.5;15;559.7;846.5;blue;blue
866.3;11;351.4;866.3;blue;blue
1123.3;15;876.5;1123.3;blue;blue
1213;15;1153.3;1213;blue;blue
1357.2;11;896.3;1357.2;blue;blue
1429.8;15;1243;1429.8;blue;blue
1465.9;15;1459.8;1465.9;blue;blue
1636.7;11;1387.2;1636.7;blue;blue
2112.8;11;1666.7;2112.8;blue;blue
2719.2;4;0;2719.2;blue;red
3098;11;2142.8;3098;blue;blue
3293.6;15;1495.9;3293.6;blue;blue
3371.8;15;3323.6;3371.8;blue;blue
3506;11;3128;3506;blue;blue
