time;id;creation;conclusion;client_color;server_color
2;5;0;2;blue;blue
9.7;6;0;9.7;blue;blue
28.3;7;0;28.3;blue;blue
45;8;0;45;blue;blue
75.2;8;75;75.2;blue;blue
78.3;6;39.7;78.3;blue;blue
108.6;2;0;108.6;blue;blue
118.8;8;105.2;118.8;blue;blue
122.6;1;0;122.6;blue;blue
203.8;1;152.6;203.8;blue;blue
244.7;5;32;244.7;blue;blue
486.6;7;58.4;486.6;blue;blue
547;5;274.7;547;blue;blue
638.8;2;138.6;638.8;blue;blue
670.5;1;233.8;670.5;blue;blue
753.1;5;577;753.1;blue;blue
766.6;7;516.6;766.6;blue;blue
835.7;1;700.5;835.7;blue;blue
913.7;1;865.7;913.7;blue;blue
935.6;0;0;935.6;blue;blue
975.8;0;965.6;975.8;blue;blue
1010.6;0;1005.8;1010.6;blue;blue
1037.8;5;783.1;1037.8;blue;blue
1051.3;6;108.3;1051.3;blue;blue
1069.5;2;668.8;1069.5;blue;blue
1084.4;8;148.8;1084.4;blue;blue
1146.9;4;0;1146.9;blue;blue
1165;0;1040.7;1165;blue;blue
1185.4;8;1114.4;1185.4;blue;blue
1189.6;4;1176.9;1189.6;blue;blue
1209.2;1;943.7;1209.2;blue;blue
1223.2;2;1099.5;1223.2;blue;blue
1247;6;1081.3;1247;blue;blue
1256.7;1;1239.2;1256.7;blue;blue
1384.2;4;1219.6;1384.2;blue;blue
1412.6;2;1253.2;1412.6;blue;blue
1414.3;4;1414.2;1414.3;blue;blue
1417;8;1215.4;1417;blue;blue
1460.1;7;796.6;1460.1;blue;blue
1468.7;6;1277;1468.7;blue;blue
1503.5;7;1490.1;1503.5;blue;blue
1554.6;7;1533.5;1554.6;blue;blue
1570.7;6;1498.7;1570.7;blue;blue
1584.8;7;1584.6;1584.8;blue;blue
1596.5;5;1067.8;1596.5;blue;blue
1613.2;4;1444.3;1613.2;blue;blue
1627.4;8;1447;1627.4;blue;blue
1665.7;8;1657.4;1665.7;blue;blue
1672.2;4;1643.2;1672.2;blue;blue
1730.7;8;1695.7;1730.7;blue;blue
1807.6;7;1614.8;1807.6;blue;blue
1998.5;6;1600.7;1998.5;blue;blue
2104.4;1;1286.7;2104.4;blue;blue
2116.3;7;1837.6;2116.3;blue;blue
2129.9;0;1195;2129.9;blue;blue
2136.6;4;1702.2;2136.6;blue;blue
2156.6;1;2134.4;2156.6;blue;blue
2171.7;0;2159.9;2171.7;blue;blue
2252.7;4;2166.6;2252.7;blue;blue
2288.5;8;1760.7;2288.5;blue;blue
2323.8;8;2318.5;2323.8;blue;blue
2332.1;4;2282.7;2332.1;blue;blue
2359;7;2146.3;2359;blue;blue
2368.9;4;2362.1;2368.9;blue;blue
2370.1;0;2201.7;2370.1;blue;blue
2400.3;0;2400.1;2400.3;blue;blue
2401.8;8;2353.8;2401.8;blue;blue
2405.3;1;2186.6;2405.3;blue;blue
2431.1;2;1442.6;2431.1;blue;blue
2468.2;8;2431.8;2468.2;blue;blue
2512;8;2498.2;2512;blue;blue
2520;1;2435.3;2520;blue;blue
2524.7;7;2389;2524.7;blue;blue
2541.1;5;1626.5;2541.1;blue;blue
2570.3;6;2028.5;2570.3;blue;blue
2570.8;1;2550;2570.8;blue;blue
2574.7;7;2554.7;2574.7;blue;blue
2589.9;5;2571.1;2589.9;blue;blue
2599.5;8;2542;2599.5;blue;blue
2618.6;1;2600.8;2618.6;blue;blue
2627.5;0;2430.3;2627.5;blue;blue
2636;2;2461.1;2636;blue;blue
2645.2;8;2629.5;2645.2;blue;blue
2667.4;7;2604.7;2667.4;blue;blue
2673.7;1;2648.6;2673.7;blue;blue
2716.7;2;2666;2716.7;blue;blue
2720.1;4;2398.9;2720.1;blue;blue
2764.4;2;2746.7;2764.4;blue;blue
2774.4;7;2697.4;2774.4;blue;blue
2875.4;6;2600.3;2875.4;blue;blue
2947.6;0;2657.5;2947.6;blue;blue
2985.8;2;2794.4;2985.8;blue;blue
2987.3;0;2977.6;2987.3;blue;blue
3018.5;1;2703.7;3018.5;blue;blue
3055.7;2;3015.8;3055.7;blue;blue
3059.6;5;2619.9;3059.6;blue;blue
3100.1;6;2905.4;3100.1;blue;blue
3116.3;7;2804.4;3116.3;blue;blue
3139.9;6;3130.1;3139.9;blue;blue
3146.4;7;3146.3;3146.4;blue;blue
3192;4;2750.1;3192;blue;blue
3217.3;7;3176.4;3217.3;blue;blue
3290;7;3247.3;3290;blue;blue
3339.9;7;3320;3339.9;blue;blue
3343.1;2;3085.7;3343.1;blue;blue
3343.5;8;2675.2;3343.5;blue;blue
3391.6;8;3373.5;3391.6;blue;blue
3403.1;4;3222;3403.1;blue;blue
3415.7;0;3017.3;3415.7;blue;blue
3444.3;1;3048.5;3444.3;blue;blue
3470.4;8;3421.6;3470.4;blue;blue
