time;id;creation;conclusion;client_color;server_color
0.9;5;0;0.9;blue;blue
0.9;6;0;0.9;blue;blue
27.5;1;0;27.5;blue;blue
54.6;5;30.9;54.6;blue;blue
156.8;4;0;156.8;blue;blue
199.5;6;30.9;199.5;blue;blue
264.5;4;186.8;264.5;blue;blue
307.8;4;294.5;307.8;blue;blue
335.4;7;0;335.4;blue;blue
342.7;0;0;342.7;blue;blue
378.5;1;57.5;378.5;blue;blue
385.8;0;372.7;385.8;blue;blue
415.9;0;415.8;415.9;blue;blue
420.8;1;408.5;420.8;blue;blue
440;7;365.4;440;blue;blue
446;0;445.9;446;blue;blue
498.9;2;0;498.9;blue;blue
533.8;2;528.9;533.8;blue;blue
537.1;7;470;537.1;blue;blue
552.2;3;0;552.2;blue;blue
611.6;7;567.1;611.6;blue;blue
656.4;0;476;656.4;blue;blue
686.6;4;337.8;686.6;blue;blue
698;0;686.4;698;blue;blue
720.7;7;641.6;720.7;blue;blue
728.9;1;450.8;728.9;blue;blue
737.9;0;728;737.9;blue;blue
764.6;5;84.7;764.6;blue;blue
869.9;0;767.9;869.9;blue;blue
870.5;4;716.6;870.5;blue;blue
896.7;3;582.2;896.7;blue;blue
934;2;563.8;934;blue;blue
962;0;899.9;962;blue;blue
997.7;4;900.5;997.7;blue;blue
1001.8;0;992;1001.8;blue;blue
1031.9;0;1031.8;1031.9;blue;blue
1062.1;0;1061.9;1062.1;blue;blue
1092.2;0;1092.1;1092.2;blue;blue
1094.5;4;1027.7;1094.5;blue;blue
1151.5;3;926.7;1151.5;blue;blue
1162.1;2;964;1162.1;blue;blue
1165.7;5;794.6;1165.7;blue;blue
1178.3;4;1124.5;1178.3;blue;blue
1187.8;1;758.9;1187.8;blue;blue
1210.3;0;1122.2;1210.3;blue;blue
1231.5;7;750.7;1231.5;blue;blue
1240.5;0;1240.3;1240.5;blue;blue
1270.8;0;1270.5;1270.8;blue;blue
1317;0;1300.8;1317;blue;blue
1348.9;0;1347;1348.9;blue;blue
1382.1;4;1208.3;1382.1;blue;blue
1414.3;0;1378.9;1414.3;blue;blue
1499.9;3;1181.5;1499.9;blue;blue
1531.3;0;1444.3;1531.3;blue;blue
1549.5;3;1529.9;1549.5;blue;blue
1561.1;4;1412.1;1561.1;blue;blue
1575.3;0;1561.3;1575.3;blue;blue
1588.2;3;1579.5;1588.2;blue;blue
1609.7;1;1217.8;1609.7;blue;blue
1626.8;3;1618.2;1626.8;blue;blue
1674.7;5;1195.7;1674.7;blue;blue
1685.8;0;1605.3;1685.8;blue;blue
1720.6;4;1591.1;1720.6;blue;blue
1738.6;5;1704.7;1738.6;blue;blue
1748.8;1;1639.7;1748.8;blue;blue
1762.8;2;1192.1;1762.8;blue;blue
1768.4;4;1750.6;1768.4;blue;blue
1781.6;0;1715.8;1781.6;blue;blue
1823.9;3;1656.8;1823.9;blue;blue
1854.1;3;1853.9;1854.1;blue;blue
1886.8;3;1884.1;1886.8;blue;blue
1917;3;1916.8;1917;blue;blue
1941.7;1;1778.8;1941.7;blue;blue
1986.1;1;1971.7;1986.1;blue;blue
2043.9;3;1947;2043.9;blue;blue
2085.4;7;1261.5;2085.4;blue;blue
2139.9;3;2073.9;2139.9;blue;blue
2170;3;2169.9;2170;blue;blue
2183.2;2;1792.8;2183.2;blue;blue
2232.1;7;2115.4;2232.1;blue;blue
2244.1;3;2200;2244.1;blue;blue
2276.3;5;1768.6;2276.3;blue;blue
2281.7;3;2274.1;2281.7;blue;blue
2331.7;5;2306.3;2331.7;blue;blue
2332.4;3;2311.7;2332.4;blue;blue
2371.9;2;2213.2;2371.9;blue;blue
2439.1;1;2016.1;2439.1;blue;blue
2495.3;7;2262.1;2495.3;blue;blue
2543;7;2525.3;2543;blue;blue
2606;3;2362.4;2606;blue;blue
2646.8;6;229.5;2646.8;blue;blue
2694;0;1811.6;2694;blue;blue
2724.2;0;2724;2724.2;blue;blue
2729.3;4;1798.4;2729.3;blue;blue
2758.7;0;2754.2;2758.7;blue;blue
2771.9;4;2759.3;2771.9;blue;blue
2789.7;0;2788.7;2789.7;blue;blue
2819.9;0;2819.7;2819.9;blue;blue
2833.8;7;2573;2833.8;blue;blue
2848.6;1;2469.1;2848.6;blue;blue
2874;2;2401.9;2874;blue;blue
2902.8;3;2636;2902.8;blue;blue
2941.8;3;2932.8;2941.8;blue;blue
2965.9;0;2849.9;2965.9;blue;blue
2987.9;3;2971.8;2987.9;blue;blue
3018.1;3;3017.9;3018.1;blue;blue
3048.3;3;3048.1;3048.3;blue;blue
3048.5;5;2361.7;3048.5;blue;blue
3059.6;2;2904;3059.6;blue;blue
3077.7;6;2676.8;3077.7;blue;blue
3078.5;3;3078.3;3078.5;blue;blue
3091.2;7;2863.8;3091.2;blue;blue
3116.8;3;3108.5;3116.8;blue;blue
3123.8;1;2878.6;3123.8;blue;blue
3147;3;3146.8;3147;blue;blue
3283.1;7;3121.2;3283.1;blue;blue
3318.4;2;3089.6;3318.4;blue;blue
3423;4;2801.9;3423;blue;blue
3437.4;6;3107.7;3437.4;blue;blue
3440.4;5;3078.5;3440.4;blue;blue
3440.7;1;3153.8;3440.7;blue;blue
3469;4;3453;3469;blue;blue
3505.2;3;3177;3505.2;blue;blue
3508.3;7;3313.1;3508.3;blue;blue
3530;2;3348.4;3530;blue;blue
