time;id;creation;conclusion;client_color;server_color
23.5;2;0;23.5;blue;blue
175.9;2;53.5;175.9;blue;blue
225.6;2;205.9;225.6;blue;blue
464.3;4;0;464.3;blue;blue
585.6;4;494.3;585.6;blue;blue
615.8;4;615.6;615.8;blue;blue
1219.8;1;0;1219.8;blue;blue
1282.2;1;1249.8;1282.2;blue;blue
1285.4;4;645.8;1285.4;blue;blue
1383.8;1;1312.2;1383.8;blue;blue
1747.7;2;255.6;1747.7;blue;blue
1867.2;4;1315.4;1867.2;blue;blue
1995.7;2;1777.7;1995.7;blue;blue
2031.1;2;2025.7;2031.1;blue;blue
2127.7;4;1897.2;2127.7;blue;blue
2177.7;4;2157.7;2177.7;blue;blue
2281.2;4;2207.7;2281.2;blue;blue
2514.5;4;2311.2;2514.5;blue;blue
2819.3;2;2061.1;2819.3;blue;blue
2862.2;2;2849.3;2862.2;blue;blue
3143.7;2;2892.2;3143.7;blue;blue
3166.1;1;1413.8;3166.1;blue;blue
3524.9;2;3173.7;3524.9;blue;blue
