time;id;creation;conclusion;client_color;server_color
1.3;9;0;1.3;blue;blue
79;15;0;79;blue;blue
197.9;15;109;197.9;blue;blue
236.9;15;227.9;236.9;blue;blue
662.7;15;267;662.7;blue;blue
885.4;15;692.7;885.4;blue;blue
1287.6;4;0;1287.6;red;blue
1726.1;15;915.4;1726.1;blue;blue
1852.8;15;1756.1;1852.8;blue;blue
1883;15;1882.8;1883;blue;blue
1913.2;15;1913;1913.2;blue;blue
1986.1;15;1943.2;1986.1;blue;blue
2123.4;15;2016.1;2123.4;blue;blue
2153.5;15;2153.4;2153.5;blue;blue
2192.1;15;2183.5;2192.1;blue;blue
2352.3;15;2222.1;2352.3;blue;blue
2386.7;15;2382.3;2386.7;blue;blue
2511.3;9;31.3;2511.3;blue;blue
3052;15;2416.7;3052;blue;blue
3084.6;15;3082;3084.6;blue;blue
3175.4;9;2541.3;3175.4;blue;blue
3532.4;15;3114.6;3532.4;blue;blue
