time;id;creation;conclusion;client_color;server_color
11.6;11;0;11.6;blue;blue
169.1;15;0;169.1;blue;blue
1227.2;15;199.1;1227.2;blue;blue
1447.4;15;1257.2;1447.4;blue;blue
1519.7;15;1477.4;1519.7;blue;blue
1680.6;15;1549.7;1680.6;blue;blue
1710.8;15;1710.6;1710.8;blue;blue
1814.1;11;41.6;1814.1;blue;blue
1839.7;15;1740.8;1839.7;blue;blue
2204.3;15;1869.7;2204.3;blue;blue
2240.3;15;2234.3;2240.3;blue;blue
2270.5;15;2270.3;2270.5;blue;blue
2300.6;15;2300.5;2300.6;blue;blue
2368.5;11;1844.1;2368.5;blue;blue
2370.8;15;2330.6;2370.8;blue;blue
2401.9;15;2400.8;2401.9;blue;blue
2405.3;11;2398.5;2405.3;blue;blue
2432;15;2431.9;2432;blue;blue
2462.2;15;2462;2462.2;blue;blue
2626.5;15;2492.2;2626.5;blue;blue
2656.6;15;2656.5;2656.6;blue;blue
3023.6;15;2686.6;3023.6;blue;blue
3195.8;15;3053.6;3195.8;blue;blue
3225.9;15;3225.8;3225.9;blue;blue
3348.5;15;3255.9;3348.5;blue;blue
