time;id;creation;conclusion;client_color;server_color
146.2;3;0;146.2;blue;blue
487.6;3;176.2;487.6;blue;blue
610.8;3;517.6;610.8;blue;blue
691.4;7;0;691.4;blue;red
723.2;3;640.8;723.2;blue;blue
753.4;3;753.2;753.4;blue;blue
873.3;3;783.4;873.3;blue;blue
903.5;3;903.3;903.5;blue;blue
987.3;3;933.5;987.3;blue;blue
1008.8;11;0;1008.8;blue;blue
1101.8;3;1017.3;1101.8;blue;blue
1202.6;3;1131.8;1202.6;blue;blue
1706;3;1232.6;1706;blue;blue
1826.3;3;1736;1826.3;blue;blue
2075.9;11;1038.8;2075.9;blue;blue
2107.6;11;2105.9;2107.6;blue;blue
2571.6;3;1856.3;2571.6;blue;blue
2606.1;3;2601.6;2606.1;blue;blue
2680;3;2636.1;2680;blue;blue
2717;3;2710;2717;blue;blue
2960.5;11;2137.6;2960.5;blue;blue
3073.6;11;2990.5;3073.6;blue;blue
3288.8;11;3103.6;3288.8;blue;blue
