time;id;creation;conclusion;client_color;server_color
0.8;6;0;0.8;blue;blue
14.4;5;0;14.4;blue;blue
31.5;4;0;31.5;blue;blue
49.6;0;0;49.6;blue;blue
79.8;0;79.7;79.8;blue;blue
106.2;4;61.5;106.2;blue;blue
194.1;1;0;194.1;blue;blue
207.8;5;44.4;207.8;blue;blue
273.8;2;0;273.8;blue;blue
315.6;0;109.8;315.6;blue;blue
345.7;0;345.6;345.7;blue;blue
364.5;3;0;364.5;blue;blue
377.3;5;237.8;377.3;blue;blue
381.7;0;375.7;381.7;blue;blue
411.2;1;224.1;411.2;blue;blue
418.8;5;407.3;418.8;blue;blue
426;0;411.7;426;blue;blue
443.5;4;136.3;443.5;blue;blue
486.3;4;473.5;486.3;blue;blue
495.6;0;456;495.6;blue;blue
530.2;6;30.8;530.2;blue;blue
536.9;3;394.5;536.9;blue;blue
567;3;566.9;567;blue;blue
599.4;3;597;599.4;blue;blue
623.6;1;441.2;623.6;blue;blue
694.5;7;0;694.5;blue;blue
706.2;2;303.8;706.2;blue;blue
725.8;3;629.4;725.8;blue;blue
751;2;736.2;751;blue;blue
751.3;4;516.4;751.3;blue;blue
752.1;7;724.5;752.1;blue;blue
761.7;3;755.8;761.7;blue;blue
777.8;6;560.2;777.8;blue;blue
791.9;2;781;791.9;blue;blue
835.6;2;821.9;835.6;blue;blue
862.4;0;525.6;862.4;blue;blue
934.4;4;781.3;934.4;blue;blue
952.8;0;892.4;952.8;blue;blue
976.2;4;964.4;976.2;blue;blue
982.1;6;807.8;982.1;blue;blue
983.2;0;982.8;983.2;blue;blue
1013.3;0;1013.2;1013.3;blue;blue
1028.1;4;1006.2;1028.1;blue;blue
1043.5;0;1043.3;1043.5;blue;blue
1057.8;1;653.6;1057.8;blue;blue
1078.4;2;865.6;1078.4;blue;blue
1100.1;3;791.7;1100.1;blue;blue
1119;4;1058.1;1119;blue;blue
1178.4;3;1130.1;1178.4;blue;blue
1208.5;2;1108.4;1208.5;blue;blue
1208.5;3;1208.4;1208.5;blue;blue
1238.7;2;1238.5;1238.7;blue;blue
1255.6;7;782.1;1255.6;blue;blue
1324.1;0;1073.5;1324.1;blue;blue
1343.2;4;1149;1343.2;blue;blue
1407.5;4;1373.2;1407.5;blue;blue
1420.4;0;1354.1;1420.4;blue;blue
1461.9;0;1450.4;1461.9;blue;blue
1475.5;4;1437.5;1475.5;blue;blue
1492.1;0;1491.9;1492.1;blue;blue
1515.2;4;1505.5;1515.2;blue;blue
1524.9;0;1522.1;1524.9;blue;blue
1543;3;1238.5;1543;blue;blue
1555.1;0;1554.9;1555.1;blue;blue
1585.3;0;1585.1;1585.3;blue;blue
1620;1;1087.8;1620;blue;blue
1676.6;7;1285.6;1676.6;blue;blue
1923.9;1;1650;1923.9;blue;blue
1994.1;0;1615.3;1994.1;blue;blue
1994.1;5;448.8;1994.1;blue;blue
2097.4;4;1545.2;2097.4;blue;blue
2123;0;2024.1;2123;blue;blue
2144.4;2;1268.7;2144.4;blue;blue
2185.8;2;2174.4;2185.8;blue;blue
2211.8;1;1953.9;2211.8;blue;blue
2308.8;4;2127.4;2308.8;blue;blue
2485.6;0;2153;2485.6;blue;blue
2534.3;7;1706.6;2534.3;blue;blue
2553.4;0;2515.6;2553.4;blue;blue
2591.1;0;2583.4;2591.1;blue;blue
2599.6;3;1573;2599.6;blue;blue
2625.7;1;2241.8;2625.7;blue;blue
2629.7;3;2629.6;2629.7;blue;blue
2668.8;3;2659.7;2668.8;blue;blue
2699;3;2698.8;2699;blue;blue
2726.9;7;2564.3;2726.9;blue;blue
2729.3;3;2729;2729.3;blue;blue
2750.1;4;2338.8;2750.1;blue;blue
2752.7;2;2215.8;2752.7;blue;blue
2767.7;3;2759.3;2767.7;blue;blue
2789.2;2;2782.7;2789.2;blue;blue
2806.7;3;2797.7;2806.7;blue;blue
2822.3;1;2655.7;2822.3;blue;blue
2824.8;2;2819.2;2824.8;blue;blue
2836.1;6;1012.1;2836.1;blue;blue
2852.4;1;2852.3;2852.4;blue;blue
2853.3;0;2621.1;2853.3;blue;blue
2883.6;0;2883.3;2883.6;blue;blue
2940.5;7;2756.9;2940.5;blue;blue
2959.5;3;2836.7;2959.5;blue;blue
3018.6;3;2989.5;3018.6;blue;blue
3069.7;0;2913.6;3069.7;blue;blue
3125.9;1;2882.4;3125.9;blue;blue
3143.3;0;3099.7;3143.3;blue;blue
3173.5;0;3173.3;3173.5;blue;blue
3204.1;5;2024.1;3204.1;blue;blue
3204.1;7;2970.5;3204.1;blue;blue
3235;3;3048.6;3235;blue;blue
3366.2;4;2780.1;3366.2;blue;blue
3396.5;4;3396.2;3396.5;blue;blue
3454.6;2;2854.8;3454.6;blue;blue
3492.3;3;3265;3492.3;blue;blue
3500.6;2;3484.6;3500.6;blue;blue
3516.1;1;3155.9;3516.1;blue;blue
3522.5;3;3522.3;3522.5;blue;blue
3531.5;0;3203.5;3531.5;blue;blue
3594.6;0;3561.5;3594.6;blue;blue
3595.1;2;3530.6;3595.1;blue;blue
