time;id;creation;conclusion;client_color;server_color
245.5;1;0;245.5;blue;blue
362.8;1;275.5;362.8;blue;blue
546.2;2;0;546.2;blue;blue
592.4;4;0;592.4;blue;blue
630.6;2;576.2;630.6;blue;blue
654.1;1;392.8;654.1;blue;blue
758.8;1;684.1;758.8;blue;blue
792.4;2;660.6;792.4;blue;blue
829.1;2;822.4;829.1;blue;blue
834.4;1;788.8;834.4;blue;blue
899.4;1;864.4;899.4;blue;blue
996.2;1;929.4;996.2;blue;blue
1026;2;859.1;1026;blue;blue
1178.7;2;1056;1178.7;blue;blue
1369.6;2;1208.7;1369.6;blue;blue
1422.1;1;1026.2;1422.1;blue;blue
1491.6;2;1399.6;1491.6;blue;blue
1740.8;2;1521.6;1740.8;blue;blue
1826.1;2;1770.8;1826.1;blue;blue
2388.4;2;1856.1;2388.4;blue;blue
2552.6;2;2418.4;2552.6;blue;blue
2996.9;4;622.4;2996.9;blue;blue
3040.9;4;3026.9;3040.9;blue;blue
3201.8;2;2582.6;3201.8;blue;blue
3251.5;2;3231.8;3251.5;blue;blue
3281.8;2;3281.5;3281.8;blue;blue
3352.8;2;3311.8;3352.8;blue;blue
3354.2;4;3070.9;3354.2;blue;blue
