time;id;creation;conclusion;client_color;server_color
138.5;3;0;138.5;blue;blue
158.5;14;0;158.5;blue;blue
182;3;168.5;182;blue;blue
206.2;0;0;206.2;blue;blue
236.3;0;236.2;236.3;blue;blue
259.4;3;212;259.4;blue;blue
414;3;289.4;414;blue;blue
446.9;14;188.5;446.9;blue;blue
450;3;444;450;blue;blue
574.9;14;476.9;574.9;blue;blue
750.1;3;480;750.1;blue;blue
751.2;0;266.3;751.2;blue;blue
804.2;14;604.9;804.2;blue;blue
1147;0;781.2;1147;blue;blue
1184.6;14;834.2;1184.6;blue;blue
1215.3;0;1177;1215.3;blue;blue
1314.8;3;780.1;1314.8;blue;blue
1345;3;1344.8;1345;blue;blue
1432.1;0;1245.3;1432.1;blue;blue
1596.3;14;1214.6;1596.3;blue;blue
1626.7;14;1626.3;1626.7;blue;blue
1718.4;14;1656.7;1718.4;blue;blue
1767.1;0;1462.1;1767.1;blue;blue
1966.2;3;1375;1966.2;blue;blue
1998;3;1996.2;1998;blue;blue
2035.5;3;2028;2035.5;blue;blue
2222.2;14;1748.4;2222.2;blue;blue
2283.9;3;2065.5;2283.9;blue;blue
2315.8;3;2313.9;2315.8;blue;blue
2350.6;14;2252.2;2350.6;blue;blue
2357.9;3;2345.8;2357.9;blue;blue
2400;3;2387.9;2400;blue;blue
2412.4;14;2380.6;2412.4;blue;blue
2460.1;14;2442.4;2460.1;blue;blue
2663.2;3;2430;2663.2;blue;blue
2821.1;0;1797.1;2821.1;blue;blue
3223.2;0;2851.1;3223.2;blue;blue
3298.6;0;3253.2;3298.6;blue;blue
3428.7;14;2490.1;3428.7;blue;blue
3489.3;0;3328.6;3489.3;blue;blue
3554.1;0;3519.3;3554.1;blue;blue
