time;id;creation;conclusion;client_color;server_color
43.8;8;0;43.8;blue;blue
430.5;8;73.8;430.5;blue;blue
556.5;8;460.5;556.5;blue;blue
672.2;8;586.5;672.2;blue;blue
956.2;8;702.2;956.2;blue;blue
1191.3;8;986.2;1191.3;blue;blue
1236;8;1221.3;1236;blue;blue
1945.1;8;1266;1945.1;blue;blue
1975.4;8;1975.1;1975.4;blue;blue
2041.5;8;2005.4;2041.5;blue;blue
2078.8;8;2071.5;2078.8;blue;blue
2631.7;8;2108.8;2631.7;blue;blue
2806.3;8;2661.7;2806.3;blue;blue
2969.1;8;2836.3;2969.1;blue;blue
3042.5;8;2999.1;3042.5;blue;blue
3212.1;8;3072.5;3212.1;blue;blue
