time;id;creation;conclusion;client_color;server_color
16.7;4;0;16.7;blue;blue
529.3;8;0;529.3;blue;blue
655.7;4;46.7;655.7;blue;blue
670.5;8;559.3;670.5;blue;blue
685.9;4;685.7;685.9;blue;blue
831.7;8;700.5;831.7;blue;blue
995;8;861.7;995;blue;blue
1106.9;4;715.9;1106.9;blue;blue
1821.3;4;1136.9;1821.3;blue;blue
1821.4;8;1025;1821.4;blue;blue
2203.5;4;1851.3;2203.5;blue;blue
2330;8;1851.4;2330;blue;blue
2587.3;8;2360;2587.3;blue;blue
2761.3;4;2233.5;2761.3;blue;blue
2848.1;4;2791.3;2848.1;blue;blue
2944.3;8;2617.3;2944.3;blue;blue
3195.5;4;2878.1;3195.5;blue;blue
