time;id;creation;conclusion;client_color;server_color
465.4;3;0;465.4;blue;blue
541.6;15;0;541.6;blue;blue
632.7;3;495.4;632.7;blue;blue
663.7;3;662.7;663.7;blue;blue
912.5;3;693.7;912.5;blue;blue
1043.6;3;942.5;1043.6;blue;blue
1131.4;3;1073.6;1131.4;blue;blue
1249.7;3;1161.4;1249.7;blue;blue
1279.8;3;1279.7;1279.8;blue;blue
1384;3;1309.8;1384;blue;blue
1427.8;15;571.6;1427.8;blue;blue
1543.3;15;1457.8;1543.3;blue;blue
1626.6;15;1573.3;1626.6;blue;blue
1919.6;3;1414;1919.6;blue;blue
1952.5;3;1949.6;1952.5;blue;blue
2033.3;15;1656.6;2033.3;blue;blue
2096.1;3;1982.5;2096.1;blue;blue
2276.7;3;2126.1;2276.7;blue;blue
2291.4;15;2063.3;2291.4;blue;blue
2316.8;3;2306.7;2316.8;blue;blue
2321.6;15;2321.4;2321.6;blue;blue
2347;3;2346.8;2347;blue;blue
2354.8;15;2351.6;2354.8;blue;blue
2388.5;15;2384.8;2388.5;blue;blue
2469;15;2418.5;2469;blue;blue
2514.1;15;2499;2514.1;blue;blue
2799.9;15;2544.1;2799.9;blue;blue
3021.1;15;2829.9;3021.1;blue;blue
3051.3;15;3051.1;3051.3;blue;blue
3081.4;15;3081.3;3081.4;blue;blue
3111.6;15;3111.4;3111.6;blue;blue
