time;id;creation;conclusion;client_color;server_color
0.9;9;0;0.9;blue;blue
203.4;9;30.9;203.4;blue;blue
440.5;3;0;440.5;blue;blue
568.8;3;470.5;568.8;blue;blue
652.5;3;598.8;652.5;blue;blue
682.6;3;682.5;682.6;blue;blue
731;9;233.4;731;blue;blue
829.9;3;712.6;829.9;blue;blue
932.7;9;761;932.7;blue;blue
1282.6;3;859.9;1282.6;blue;blue
1687;3;1312.6;1687;blue;blue
1751.5;3;1717;1751.5;blue;blue
1832.7;3;1781.5;1832.7;blue;blue
1936;3;1862.7;1936;blue;blue
2752;3;1966;2752;blue;blue
2801.3;3;2782;2801.3;blue;blue
3266.8;3;2831.3;3266.8;blue;blue
3296.9;3;3296.8;3296.9;blue;blue
3327.1;3;3326.9;3327.1;blue;blue
3357.3;3;3357.1;3357.3;blue;blue
