time;id;creation;conclusion;client_color;server_color
3.4;5;0;3.4;blue;blue
12.4;4;0;12.4;blue;blue
77.8;4;42.4;77.8;blue;blue
183;12;0;183;blue;blue
228;12;213;228;blue;blue
258.2;12;258;258.2;blue;blue
288.4;12;288.2;288.4;blue;blue
323.3;12;318.4;323.3;blue;blue
658.2;5;33.4;658.2;blue;blue
878.3;12;353.3;878.3;blue;blue
1727.3;12;908.3;1727.3;blue;blue
1757.5;12;1757.3;1757.5;blue;blue
1933.1;12;1787.5;1933.1;blue;blue
2054.2;4;107.8;2054.2;blue;blue
2741.8;4;2084.2;2741.8;blue;blue
2834.1;13;0;2834.1;red;blue
3110.3;4;2771.8;3110.3;blue;blue
3330.2;12;1963.1;3330.2;blue;blue
