time;id;creation;conclusion;client_color;server_color
1.7;9;0;1.7;blue;blue
9.9;10;0;9.9;blue;blue
28.9;14;0;28.9;blue;blue
33.2;1;0;33.2;blue;blue
114;4;0;114;blue;blue
194.6;2;0;194.6;blue;blue
234.9;11;0;234.9;blue;blue
256.8;4;144;256.8;blue;blue
265.4;2;224.6;265.4;blue;blue
304.4;2;295.4;304.4;blue;blue
365.4;1;63.2;365.4;blue;blue
476.3;1;395.4;476.3;blue;blue
500.8;8;0;500.8;blue;blue
559.1;1;506.3;559.1;blue;blue
703.3;14;58.9;703.3;blue;blue
707.8;1;589.1;707.8;blue;blue
874.5;11;265;874.5;blue;blue
879;8;530.9;879;blue;blue
908.4;14;733.3;908.4;blue;blue
931.4;2;334.4;931.4;blue;blue
1029.8;9;31.7;1029.8;blue;blue
1152.6;1;737.8;1152.6;blue;blue
1172.9;11;904.5;1172.9;blue;blue
1185.8;1;1182.6;1185.8;blue;blue
1234.5;4;286.8;1234.5;blue;blue
1277.3;4;1264.5;1277.3;blue;blue
1293.6;8;909;1293.6;blue;blue
1338.8;2;961.4;1338.8;blue;blue
1379.9;14;938.4;1379.9;blue;blue
1533.3;8;1323.6;1533.3;blue;blue
1558.5;4;1307.3;1558.5;blue;blue
1586.5;9;1059.8;1586.5;blue;blue
1630.3;14;1409.9;1630.3;blue;blue
1660.6;9;1616.5;1660.6;blue;blue
1668.1;14;1660.3;1668.1;blue;blue
1780.6;1;1215.8;1780.6;blue;blue
1882.4;10;39.9;1882.4;blue;blue
1896.7;2;1368.8;1896.7;blue;blue
1926.2;8;1563.3;1926.2;blue;blue
1945;11;1202.9;1945;blue;blue
1947.2;4;1588.5;1947.2;blue;blue
1992.4;4;1977.2;1992.4;blue;blue
2109.7;14;1698.1;2109.7;blue;blue
2190.5;2;1926.7;2190.5;blue;blue
2284.8;8;1956.2;2284.8;blue;blue
2304.6;9;1690.6;2304.6;blue;blue
2313.7;1;1810.6;2313.7;blue;blue
2379.7;1;2343.7;2379.7;blue;blue
2394.4;14;2139.7;2394.4;blue;blue
2397.1;8;2314.8;2397.1;blue;blue
2410.4;9;2334.6;2410.4;blue;blue
2442.1;1;2409.7;2442.1;blue;blue
2443.8;14;2424.4;2443.8;blue;blue
2476;9;2440.4;2476;blue;blue
2597.2;14;2473.8;2597.2;blue;blue
2668.3;2;2220.5;2668.3;blue;blue
2674.1;11;1975;2674.1;blue;blue
2686.3;1;2472.1;2686.3;blue;blue
2711.2;2;2698.3;2711.2;blue;blue
2821.9;4;2022.4;2821.9;blue;blue
2836.4;11;2704.1;2836.4;blue;blue
2842.4;2;2741.2;2842.4;blue;blue
2875.5;11;2866.4;2875.5;blue;blue
2955.9;2;2872.4;2955.9;blue;blue
2987.1;1;2716.3;2987.1;blue;blue
3043.3;1;3017.1;3043.3;blue;blue
3063.1;2;2985.9;3063.1;blue;blue
3103.1;8;2427.1;3103.1;blue;blue
3156.4;14;2627.2;3156.4;blue;blue
3197.9;1;3073.3;3197.9;blue;blue
3202;14;3186.4;3202;blue;blue
3213;4;2851.9;3213;blue;blue
3217.3;2;3093.1;3217.3;blue;blue
3229.3;1;3227.9;3229.3;blue;blue
3339.5;8;3133.1;3339.5;blue;blue
3411.1;9;2506;3411.1;blue;blue
3434.6;8;3369.5;3434.6;blue;blue
3451;2;3247.3;3451;blue;blue
3591.1;8;3464.6;3591.1;blue;blue
