time;id;creation;conclusion;client_color;server_color
1.6;6;0;1.6;blue;blue
2.8;9;0;2.8;blue;blue
3.1;10;0;3.1;blue;blue
54.8;8;0;54.8;blue;blue
160.5;6;31.6;160.5;blue;blue
176.3;8;84.8;176.3;blue;blue
180.1;1;0;180.1;blue;blue
246.1;8;206.3;246.1;blue;blue
286.6;4;0;286.6;blue;blue
298.4;8;276.1;298.4;blue;blue
363;3;0;363;blue;blue
380.6;2;0;380.6;blue;blue
408.9;1;210.1;408.9;blue;blue
470.5;3;393;470.5;blue;blue
498;4;316.6;498;blue;blue
538.5;2;410.6;538.5;blue;blue
560.2;1;438.9;560.2;blue;blue
563.9;3;500.5;563.9;blue;blue
597.5;3;593.9;597.5;blue;blue
600;1;590.2;600;blue;blue
627.8;3;627.5;627.8;blue;blue
667.9;4;528;667.9;blue;blue
670.1;8;328.4;670.1;blue;blue
707.1;8;700.1;707.1;blue;blue
753.7;6;190.5;753.7;blue;blue
841.5;8;737.1;841.5;blue;blue
900;4;697.9;900;blue;blue
948.8;2;568.5;948.8;blue;blue
951.9;4;930;951.9;blue;blue
959.9;8;871.5;959.9;blue;blue
1053.2;1;630;1053.2;blue;blue
1076.8;9;32.9;1076.8;blue;blue
1078.8;6;783.7;1078.8;blue;blue
1097.1;4;981.9;1097.1;blue;blue
1124.2;8;989.9;1124.2;blue;blue
1181.8;2;978.8;1181.8;blue;blue
1258.5;8;1154.2;1258.5;blue;blue
1291.8;4;1127.1;1291.8;blue;blue
1310.2;1;1083.2;1310.2;blue;blue
1331.3;2;1211.8;1331.3;blue;blue
1335.2;10;33.1;1335.2;blue;blue
1415.6;9;1106.8;1415.6;blue;blue
1423.5;8;1288.5;1423.5;blue;blue
1441.8;4;1321.8;1441.8;blue;blue
1461;6;1108.8;1461;blue;blue
1479.7;1;1340.2;1479.7;blue;blue
1698.4;2;1361.3;1698.4;blue;blue
1771.6;1;1509.7;1771.6;blue;blue
1819.3;4;1471.8;1819.3;blue;blue
1850.3;8;1453.5;1850.3;blue;blue
1942.7;9;1445.6;1942.7;blue;blue
2098.3;9;1972.7;2098.3;blue;blue
2125.8;2;1728.4;2125.8;blue;blue
2177.8;4;1849.3;2177.8;blue;blue
2202.4;8;1880.3;2202.4;blue;blue
2229.7;10;1365.2;2229.7;blue;blue
2238.1;8;2232.4;2238.1;blue;blue
2421;3;657.8;2421;blue;blue
2464.2;3;2451;2464.2;blue;blue
2494.4;2;2155.8;2494.4;blue;blue
2538.4;2;2524.4;2538.4;blue;blue
2553.3;1;1801.6;2553.3;blue;blue
2573.8;6;1491;2573.8;blue;blue
2581.1;2;2568.4;2581.1;blue;blue
2642.1;3;2494.2;2642.1;blue;blue
2643.3;1;2583.3;2643.3;blue;blue
2653.3;4;2207.8;2653.3;blue;blue
2677.1;1;2673.3;2677.1;blue;blue
2836.4;8;2268.1;2836.4;blue;blue
2847.6;2;2611.1;2847.6;blue;blue
2864.1;6;2603.8;2864.1;blue;blue
2878.2;10;2259.7;2878.2;blue;blue
2892.5;2;2877.6;2892.5;blue;blue
2893;9;2128.3;2893;blue;blue
2906.1;3;2672.1;2906.1;blue;blue
2909.2;8;2866.4;2909.2;blue;blue
2910.1;1;2707.1;2910.1;blue;blue
2939.3;6;2894.1;2939.3;blue;blue
2949.8;3;2936.1;2949.8;blue;blue
2957.6;1;2940.1;2957.6;blue;blue
2980.4;2;2922.5;2980.4;blue;blue
3016.8;4;2683.3;3016.8;blue;blue
3033.9;9;2923;3033.9;blue;blue
3049.3;10;2908.2;3049.3;blue;blue
3090.4;3;2979.8;3090.4;blue;blue
3138.3;8;2939.2;3138.3;blue;blue
3179.7;8;3168.3;3179.7;blue;blue
3240.3;10;3079.3;3240.3;blue;blue
3249.2;4;3046.8;3249.2;blue;blue
3269.4;8;3209.7;3269.4;blue;blue
3303.1;3;3120.4;3303.1;blue;blue
3340.7;3;3333.1;3340.7;blue;blue
3382.2;3;3370.7;3382.2;blue;blue
3415.8;1;2987.6;3415.8;blue;blue
3444.9;10;3270.3;3444.9;blue;blue
3497.2;1;3445.8;3497.2;blue;blue
3535.1;8;3299.4;3535.1;blue;blue
3535.8;4;3279.2;3535.8;blue;blue
