time;id;creation;conclusion;client_color;server_color
83.8;15;0;83.8;blue;blue
143.5;15;113.8;143.5;blue;blue
292.3;15;173.5;292.3;blue;blue
480.9;3;0;480.9;blue;blue
755.3;15;322.3;755.3;blue;blue
1151.6;3;510.9;1151.6;blue;blue
1181.8;3;1181.6;1181.8;blue;blue
1211.9;3;1211.8;1211.9;blue;blue
1243.4;3;1241.9;1243.4;blue;blue
1358.1;15;785.3;1358.1;blue;blue
1394.2;15;1388.1;1394.2;blue;blue
1886.3;15;1424.2;1886.3;blue;blue
2056.6;15;1916.3;2056.6;blue;blue
2204.7;15;2086.6;2204.7;blue;blue
2575.3;15;2234.7;2575.3;blue;blue
2711;3;1273.4;2711;blue;blue
2871.5;3;2741;2871.5;blue;blue
2901.5;3;2901.5;2901.5;blue;blue
2912.7;15;2605.3;2912.7;blue;blue
2931.5;3;2931.5;2931.5;blue;blue
2981.8;3;2961.5;2981.8;blue;blue
3011.9;3;3011.8;3011.9;blue;blue
3042;3;3041.9;3042;blue;blue
3096.7;3;3072;3096.7;blue;blue
3151.8;3;3126.7;3151.8;blue;blue
3290.1;3;3181.8;3290.1;blue;blue
