time;id;creation;conclusion;client_color;server_color
47.7;3;0;47.7;blue;blue
77.8;3;77.7;77.8;blue;blue
107.9;3;107.8;107.9;blue;blue
147.4;3;137.9;147.4;blue;blue
287;3;177.4;287;blue;blue
326.8;3;317;326.8;blue;blue
341;15;0;341;blue;blue
365.6;3;356.8;365.6;blue;blue
438.6;3;395.6;438.6;blue;blue
468.8;3;468.6;468.8;blue;blue
538.4;15;371;538.4;blue;blue
578.3;3;498.8;578.3;blue;blue
609.5;3;608.3;609.5;blue;blue
670.1;3;639.5;670.1;blue;blue
817.2;15;568.4;817.2;blue;blue
1137.3;3;700.1;1137.3;blue;blue
1179.3;3;1167.3;1179.3;blue;blue
1668.1;15;847.2;1668.1;blue;blue
1712.2;15;1698.1;1712.2;blue;blue
1754.9;15;1742.2;1754.9;blue;blue
1785.1;15;1784.9;1785.1;blue;blue
1805.6;3;1209.3;1805.6;blue;blue
1916.8;15;1815.1;1916.8;blue;blue
2692.4;3;1835.6;2692.4;blue;blue
3348.8;3;2722.4;3348.8;blue;blue
