time;id;creation;conclusion;client_color;server_color
2;5;0;2;blue;blue
658.6;3;0;658.6;blue;blue
753.6;3;688.6;753.6;blue;blue
1223.6;13;0;1223.6;blue;blue
1323.9;5;32;1323.9;blue;blue
1575.1;12;0;1575.1;red;red
1595.6;13;1253.6;1595.6;blue;blue
1696;13;1625.6;1696;blue;blue
1731.8;13;1726;1731.8;blue;blue
1965.1;13;1761.8;1965.1;blue;blue
2451.1;3;783.6;2451.1;blue;blue
2500.5;13;1995.1;2500.5;blue;blue
2534.3;3;2481.1;2534.3;blue;blue
2564.5;3;2564.3;2564.5;blue;blue
2634.4;3;2594.5;2634.4;blue;blue
3024.2;3;2664.4;3024.2;blue;blue
3092.1;3;3054.2;3092.1;blue;blue
3127;3;3122.1;3127;blue;blue
3158.8;3;3157;3158.8;blue;blue
