time;id;creation;conclusion;client_color;server_color
1;5;0;1;blue;blue
1;10;0;1;blue;blue
8.2;1;0;8.2;blue;blue
39;4;0;39;blue;blue
71.1;2;0;71.1;blue;blue
81.7;1;38.2;81.7;blue;blue
101.3;2;101.1;101.3;blue;blue
114.1;7;0;114.1;blue;blue
162.9;7;144.1;162.9;blue;blue
230.8;7;192.9;230.8;blue;blue
379.6;7;260.8;379.6;blue;blue
405.9;11;0;405.9;blue;blue
591;7;409.6;591;blue;blue
631.1;8;0;631.1;blue;blue
647.4;1;111.7;647.4;blue;blue
648.8;7;621;648.8;blue;blue
734;2;131.3;734;blue;blue
746.7;7;678.8;746.7;blue;blue
766.8;11;435.9;766.8;blue;blue
771.6;2;764;771.6;blue;blue
789.6;8;661.1;789.6;blue;blue
794.3;7;776.7;794.3;blue;blue
819.8;2;801.6;819.8;blue;blue
823.3;8;819.6;823.3;blue;blue
838.5;4;69;838.5;blue;blue
872.3;11;796.8;872.3;blue;blue
893.1;7;824.3;893.1;blue;blue
909.4;11;902.3;909.4;blue;blue
1101.5;11;939.4;1101.5;blue;blue
1129.4;10;31;1129.4;blue;blue
1140.3;2;849.8;1140.3;blue;blue
1149.9;11;1131.5;1149.9;blue;blue
1161.2;8;853.3;1161.2;blue;blue
1171;10;1159.4;1171;blue;blue
1213.8;11;1179.9;1213.8;blue;blue
1246.1;7;923.1;1246.1;blue;blue
1310.2;8;1191.2;1310.2;blue;blue
1439.7;8;1340.2;1439.7;blue;blue
1494.3;7;1276.1;1494.3;blue;blue
1590.9;5;31;1590.9;blue;blue
1610.7;8;1469.7;1610.7;blue;blue
1706;5;1620.9;1706;blue;blue
1756.6;7;1524.3;1756.6;blue;blue
1758.5;8;1640.7;1758.5;blue;blue
1789.1;11;1243.8;1789.1;blue;blue
1798.1;7;1786.6;1798.1;blue;blue
1820.3;11;1819.1;1820.3;blue;blue
1881.4;1;677.4;1881.4;blue;blue
1916.6;11;1850.3;1916.6;blue;blue
1949.4;1;1911.4;1949.4;blue;blue
1956.1;8;1788.5;1956.1;blue;blue
1975;4;868.5;1975;blue;blue
2005.2;4;2005;2005.2;blue;blue
2067.6;10;1201;2067.6;blue;blue
2068.9;8;1986.1;2068.9;blue;blue
2088.9;7;1828.1;2088.9;blue;blue
2144.5;4;2035.2;2144.5;blue;blue
2187.2;4;2174.5;2187.2;blue;blue
2215.3;8;2098.9;2215.3;blue;blue
2218.4;5;1736;2218.4;blue;blue
2231.2;2;1170.3;2231.2;blue;blue
2305.5;11;1946.6;2305.5;blue;blue
2324.7;4;2217.2;2324.7;blue;blue
2328.2;8;2245.3;2328.2;blue;blue
2330.2;7;2118.9;2330.2;blue;blue
2361.7;7;2360.2;2361.7;blue;blue
2383.2;1;1979.4;2383.2;blue;blue
2471.6;8;2358.2;2471.6;blue;blue
2488.9;2;2261.2;2488.9;blue;blue
2504.2;1;2413.2;2504.2;blue;blue
2516.6;8;2501.6;2516.6;blue;blue
2518.1;7;2391.7;2518.1;blue;blue
2528.3;2;2518.9;2528.3;blue;blue
2565.8;2;2558.3;2565.8;blue;blue
2603.5;7;2548.1;2603.5;blue;blue
2640.2;7;2633.5;2640.2;blue;blue
2768.6;11;2335.5;2768.6;blue;blue
2769;8;2546.6;2769;blue;blue
2785.6;10;2097.6;2785.6;blue;blue
2822.6;8;2799;2822.6;blue;blue
2860.6;1;2534.2;2860.6;blue;blue
2866.4;8;2852.6;2866.4;blue;blue
3000.3;4;2354.7;3000.3;blue;blue
3032;4;3030.3;3032;blue;blue
3110.2;8;2896.4;3110.2;blue;blue
3132.4;4;3062;3132.4;blue;blue
3177.1;4;3162.4;3177.1;blue;blue
3195.3;7;2670.2;3195.3;blue;blue
3254.1;7;3225.3;3254.1;blue;blue
3264.4;4;3207.1;3264.4;blue;blue
3303.9;5;2248.4;3303.9;blue;blue
3318.7;11;2798.6;3318.7;blue;blue
3350.2;2;2595.8;3350.2;blue;blue
3353.9;7;3284.1;3353.9;blue;blue
3385.3;2;3380.2;3385.3;blue;blue
3470.7;4;3294.4;3470.7;blue;blue
3501;8;3140.2;3501;blue;blue
