time;id;creation;conclusion;client_color;server_color
803;12;0;803;blue;blue
833.9;12;833;833.9;blue;blue
864;12;863.9;864;blue;blue
1052.5;12;894;1052.5;blue;blue
1082.7;12;1082.5;1082.7;blue;blue
1182.8;1;0;1182.8;blue;blue
1284.2;12;1112.7;1284.2;blue;blue
1343.5;12;1314.2;1343.5;blue;blue
1483.7;12;1373.5;1483.7;blue;blue
1658.1;12;1513.7;1658.1;blue;blue
1688.3;12;1688.1;1688.3;blue;blue
1718.6;12;1718.3;1718.6;blue;blue
1755.4;12;1748.6;1755.4;blue;blue
1785.6;12;1785.4;1785.6;blue;blue
1815.9;12;1815.6;1815.9;blue;blue
1968.3;12;1845.9;1968.3;blue;blue
2055.3;12;1998.3;2055.3;blue;blue
2188.2;12;2085.3;2188.2;blue;blue
2610.1;12;2218.2;2610.1;blue;blue
3033.9;12;2640.1;3033.9;blue;blue
3064.1;12;3063.9;3064.1;blue;blue
3598.1;1;1212.8;3598.1;blue;blue
