time;id;creation;conclusion;client_color;server_color
179;3;0;179;blue;blue
483.8;3;209;483.8;blue;blue
1380;3;513.9;1380;blue;blue
1410.2;3;1410;1410.2;blue;blue
1440.4;3;1440.2;1440.4;blue;blue
1569.4;3;1470.4;1569.4;blue;blue
1599.6;3;1599.4;1599.6;blue;blue
1600.7;15;0;1600.7;blue;blue
1629.7;3;1629.6;1629.7;blue;blue
1665.5;3;1659.7;1665.5;blue;blue
1695.7;3;1695.5;1695.7;blue;blue
1731.2;3;1725.7;1731.2;blue;blue
1972.2;15;1630.7;1972.2;blue;blue
2104.8;3;1761.2;2104.8;blue;blue
2135;3;2134.8;2135;blue;blue
2165.2;3;2165;2165.2;blue;blue
2233.7;15;2002.2;2233.7;blue;blue
2264;15;2263.7;2264;blue;blue
2320.9;15;2294;2320.9;blue;blue
3149;3;2195.2;3149;blue;blue
3215.6;15;2350.9;3215.6;blue;blue
3248.4;3;3179;3248.4;blue;blue
3278.5;3;3278.4;3278.5;blue;blue
3311.6;3;3308.5;3311.6;blue;blue
