time;id;creation;conclusion;client_color;server_color
0.8;9;0;0.8;blue;blue
0.8;10;0;0.8;blue;blue
18.6;8;0;18.6;blue;blue
66;8;48.6;66;blue;blue
86.8;4;0;86.8;blue;blue
104;6;0;104;blue;blue
177.1;8;96;177.1;blue;blue
200.4;4;116.8;200.4;blue;blue
208.2;8;207.1;208.2;blue;blue
359.8;2;0;359.8;blue;blue
397.4;1;0;397.4;blue;blue
627.3;2;389.8;627.3;blue;blue
708.3;3;0;708.3;blue;blue
738.5;3;738.3;738.5;blue;blue
768.7;3;768.5;768.7;blue;blue
772.7;2;657.3;772.7;blue;blue
798.9;3;798.7;798.9;blue;blue
835.1;2;802.7;835.1;blue;blue
985.2;3;828.9;985.2;blue;blue
1117.9;2;865.1;1117.9;blue;blue
1184.4;8;238.2;1184.4;blue;blue
1187.5;2;1147.9;1187.5;blue;blue
1196;1;427.4;1196;blue;blue
1268;3;1015.2;1268;blue;blue
1282.1;1;1226;1282.1;blue;blue
1299.2;3;1298;1299.2;blue;blue
1437.1;9;30.8;1437.1;blue;blue
1538.6;3;1329.2;1538.6;blue;blue
1560.3;4;230.4;1560.3;blue;blue
1576.9;3;1568.6;1576.9;blue;blue
1593.4;4;1590.3;1593.4;blue;blue
1728.8;8;1214.4;1728.8;blue;blue
1755.1;2;1217.5;1755.1;blue;blue
1824.4;1;1312.1;1824.4;blue;blue
1940.2;8;1758.8;1940.2;blue;blue
1968.4;3;1606.9;1968.4;blue;blue
2003.8;1;1854.4;2003.8;blue;blue
2186.8;3;1998.4;2186.8;blue;blue
2218.2;3;2216.8;2218.2;blue;blue
2248.5;3;2248.2;2248.5;blue;blue
2255;2;1785.1;2255;blue;blue
2278.7;3;2278.5;2278.7;blue;blue
2295.4;2;2285;2295.4;blue;blue
2333.2;1;2033.8;2333.2;blue;blue
2360.1;2;2325.4;2360.1;blue;blue
2393.1;10;30.8;2393.1;blue;blue
2441.6;3;2308.7;2441.6;blue;blue
2508.7;8;1970.2;2508.7;blue;blue
2566.7;8;2538.7;2566.7;blue;blue
2690.8;4;1623.4;2690.8;blue;blue
2906.6;1;2363.2;2906.6;blue;blue
2941;4;2720.8;2941;blue;blue
2944.9;8;2596.7;2944.9;blue;blue
2983.2;8;2974.9;2983.2;blue;blue
3068.2;3;2471.6;3068.2;blue;blue
