time;id;creation;conclusion;client_color;server_color
365.1;3;0;365.1;blue;blue
401.6;3;395.1;401.6;blue;blue
752.4;11;0;752.4;blue;blue
1358.5;11;782.4;1358.5;blue;blue
1492.9;11;1388.5;1492.9;blue;blue
1577.4;3;431.6;1577.4;blue;blue
1591.2;11;1522.9;1591.2;blue;blue
1692.7;3;1607.4;1692.7;blue;blue
1733.2;3;1722.7;1733.2;blue;blue
1904.5;11;1621.2;1904.5;blue;blue
2018;3;1763.2;2018;blue;blue
2448.8;3;2048;2448.8;blue;blue
2459.2;11;1934.5;2459.2;blue;blue
2569.9;11;2489.2;2569.9;blue;blue
2676.6;11;2599.9;2676.6;blue;blue
2739.3;11;2706.6;2739.3;blue;blue
2802.3;3;2478.8;2802.3;blue;blue
3145.1;11;2769.3;3145.1;blue;blue
3191.8;3;2832.3;3191.8;blue;blue
3222;3;3221.8;3222;blue;blue
3276.2;11;3175.1;3276.2;blue;blue
3330.4;11;3306.2;3330.4;blue;blue
3471.3;3;3252;3471.3;blue;blue
3501.5;3;3501.3;3501.5;blue;blue
