time;id;creation;conclusion;client_color;server_color
1.3;10;0;1.3;blue;blue
4.1;4;0;4.1;blue;blue
56.8;10;31.3;56.8;blue;blue
112.1;1;0;112.1;blue;blue
329;11;0;329;blue;blue
349.9;4;34.1;349.9;blue;blue
364.5;11;359;364.5;blue;blue
412.3;5;0;412.3;blue;blue
437.6;2;0;437.6;blue;blue
483.6;1;142.1;483.6;blue;blue
600.9;2;467.6;600.9;blue;blue
631;2;630.9;631;blue;blue
644.7;7;0;644.7;blue;blue
803.3;1;513.6;803.3;blue;blue
806.1;11;394.5;806.1;blue;blue
958.4;7;674.7;958.4;blue;blue
984.6;2;661;984.6;blue;blue
1025.7;10;86.8;1025.7;blue;blue
1030.4;4;379.9;1030.4;blue;blue
1096.8;8;0;1096.8;blue;blue
1360;8;1126.8;1360;blue;blue
1423.9;8;1390;1423.9;blue;blue
1709.6;8;1453.9;1709.6;blue;blue
1797.3;7;988.4;1797.3;blue;blue
1866.8;7;1827.3;1866.8;blue;blue
1964.6;1;833.3;1964.6;blue;blue
2013.3;11;836.1;2013.3;blue;blue
2149.8;2;1014.6;2149.8;blue;blue
2227.5;7;1896.8;2227.5;blue;blue
2240.1;4;1060.4;2240.1;blue;blue
2288.6;8;1739.6;2288.6;blue;blue
2444.2;1;1994.6;2444.2;blue;blue
2455.8;5;442.3;2455.8;blue;blue
2475.3;7;2257.5;2475.3;blue;blue
2600.1;10;1055.7;2600.1;blue;blue
2694.7;7;2505.3;2694.7;blue;blue
2863.3;8;2318.6;2863.3;blue;blue
2925.4;8;2893.3;2925.4;blue;blue
2936.9;4;2270.1;2936.9;blue;blue
2955.5;8;2955.4;2955.5;blue;blue
3054.9;8;2985.5;3054.9;blue;blue
3186;8;3084.9;3186;blue;blue
3288.3;8;3216;3288.3;blue;blue
3312.8;5;2485.8;3312.8;blue;blue
3329;4;2966.9;3329;blue;blue
3452.9;8;3318.3;3452.9;blue;blue
3472.4;4;3359;3472.4;blue;blue
3485.6;8;3482.9;3485.6;blue;blue
3522.1;8;3515.6;3522.1;blue;blue
3539.4;4;3502.4;3539.4;blue;blue
3548.7;1;2474.2;3548.7;blue;blue
