time;id;creation;conclusion;client_color;server_color
57.2;2;0;57.2;blue;blue
217.2;2;87.2;217.2;blue;blue
480.4;4;0;480.4;blue;blue
843.5;2;247.2;843.5;blue;blue
868.6;13;0;868.6;blue;blue
1464.6;13;898.6;1464.6;blue;blue
1494.8;13;1494.6;1494.8;blue;blue
1684.4;4;510.4;1684.4;blue;blue
1716.7;4;1714.4;1716.7;blue;blue
1802.1;13;1524.8;1802.1;blue;blue
2110.6;2;873.5;2110.6;blue;blue
2522.4;4;1746.7;2522.4;blue;blue
2554;4;2552.4;2554;blue;blue
2603.1;13;1832.1;2603.1;blue;blue
2705.7;4;2584;2705.7;blue;blue
2998.5;2;2140.6;2998.5;blue;blue
3031.8;4;2735.7;3031.8;blue;blue
3132.4;4;3061.8;3132.4;blue;blue
3373.7;2;3028.5;3373.7;blue;blue
