time;id;creation;conclusion;client_color;server_color
856.8;11;0;856.8;blue;blue
1026.7;15;0;1026.7;blue;blue
1056.9;15;1056.7;1056.9;blue;blue
1066.2;11;886.8;1066.2;blue;blue
1269.5;11;1096.2;1269.5;blue;blue
1503.9;15;1086.9;1503.9;blue;blue
2312.7;15;1533.9;2312.7;blue;blue
2348.2;15;2342.7;2348.2;blue;blue
2417.6;11;1299.5;2417.6;blue;blue
2448;15;2378.2;2448;blue;blue
2478.2;15;2478;2478.2;blue;blue
3283.5;15;2508.2;3283.5;blue;blue
3353.5;15;3313.5;3353.5;blue;blue
3406.5;15;3383.5;3406.5;blue;blue
3443;15;3436.5;3443;blue;blue
3485.2;15;3473;3485.2;blue;blue
3515.3;15;3515.2;3515.3;blue;blue
