time;id;creation;conclusion;client_color;server_color
125;3;0;125;blue;blue
155.3;3;155;155.3;blue;blue
160.3;15;0;160.3;blue;blue
240.3;3;185.3;240.3;blue;blue
448.9;15;190.3;448.9;blue;blue
479;15;478.9;479;blue;blue
646.7;0;0;646.7;red;blue
718.9;3;270.3;718.9;blue;blue
834.3;3;748.9;834.3;blue;blue
908.5;3;864.3;908.5;blue;blue
944.7;3;938.5;944.7;blue;blue
974.8;3;974.7;974.8;blue;blue
1019.5;3;1004.8;1019.5;blue;blue
1141.2;15;509;1141.2;blue;blue
1172.7;3;1049.5;1172.7;blue;blue
1383.5;3;1202.7;1383.5;blue;blue
1611.9;3;1413.5;1611.9;blue;blue
1643.1;3;1641.9;1643.1;blue;blue
3028.1;15;1171.2;3028.1;blue;blue
3484.2;3;1673.1;3484.2;blue;blue
3524.8;15;3058.1;3524.8;blue;blue
