time;id;creation;conclusion;client_color;server_color
14.6;1;0;14.6;blue;blue
133.9;12;0;133.9;blue;blue
514.9;12;163.9;514.9;blue;blue
623.6;12;544.9;623.6;blue;blue
690.7;12;653.6;690.7;blue;blue
720.9;12;720.7;720.9;blue;blue
761;12;750.9;761;blue;blue
1029.2;12;791;1029.2;blue;blue
1567.1;1;44.6;1567.1;blue;blue
1650.3;12;1059.2;1650.3;blue;blue
1899.9;12;1680.3;1899.9;blue;blue
2297.9;12;1929.9;2297.9;blue;blue
2416.2;1;1597.1;2416.2;blue;blue
2587.4;1;2446.2;2587.4;blue;blue
3291;12;2327.9;3291;blue;blue
3292.6;1;2617.4;3292.6;blue;blue
3333.2;12;3321;3333.2;blue;blue
3363.4;12;3363.2;3363.4;blue;blue
3381.5;1;3322.6;3381.5;blue;blue
