time;id;creation;conclusion;own color;other color
1.3;9;0;1.3;1;blue
11;6;0;11;2;blue
77.5;9;31.3;77.5;1;blue
737.7;9;107.5;737.7;1;blue
2032;9;767.7;2032;1;blue
