time;id;creation;conclusion;own color;other color
0.8;6;0;0.8;1;blue
0.8;9;0;0.8;1;blue
9.3;5;0;9.3;2;blue
31.1;6;30.8;31.1;1;blue
481;6;61.1;481;1;blue
2530.3;6;511;2530.3;1;blue
