time;id;creation;conclusion;own color;other color
19.1;9;0;19.1;2;blue
56.6;7;0;56.6;1;blue
658.5;15;0;658.5;1;blue
2276.2;7;86.7;2276.2;1;blue
2363.9;15;688.5;2363.9;1;blue
