time;id;creation;conclusion;client_color;server_color
1.4;10;0;1.4;blue;blue
6;9;0;6;blue;blue
92.2;2;0;92.2;blue;blue
153.7;6;0;153.7;blue;blue
247.9;2;122.2;247.9;blue;blue
317.9;4;0;317.9;blue;blue
432.8;11;0;432.8;blue;blue
449.4;0;0;449.4;blue;blue
479.6;0;479.4;479.6;blue;blue
518.3;2;278;518.3;blue;blue
774.4;4;347.9;774.4;blue;blue
834.9;2;548.3;834.9;blue;blue
893.3;11;462.8;893.3;blue;blue
910.1;2;864.9;910.1;blue;blue
1147.4;11;923.3;1147.4;blue;blue
1187.9;11;1177.4;1187.9;blue;blue
1256.8;11;1217.9;1256.8;blue;blue
1348.3;2;940.1;1348.3;blue;blue
1374.3;11;1286.8;1374.3;blue;blue
1410.9;0;509.6;1410.9;blue;blue
1434.5;8;0;1434.5;blue;blue
1441.1;0;1440.9;1441.1;blue;blue
1471;4;804.4;1471;blue;blue
1477.6;6;183.7;1477.6;blue;blue
1507.9;11;1404.3;1507.9;blue;blue
1525.3;8;1464.5;1525.3;blue;blue
1863.7;11;1537.9;1863.7;blue;blue
1888.2;10;31.4;1888.2;blue;blue
2068.7;0;1471.1;2068.7;blue;blue
2104.9;0;2098.7;2104.9;blue;blue
2141.7;0;2134.9;2141.7;blue;blue
2171.8;0;2171.7;2171.8;blue;blue
2239.4;0;2201.8;2239.4;blue;blue
2258.5;4;1501;2258.5;blue;blue
2277.9;0;2269.4;2277.9;blue;blue
2308.1;0;2307.9;2308.1;blue;blue
2339.5;0;2338.1;2339.5;blue;blue
2363;11;1893.7;2363;blue;blue
2422.3;0;2369.5;2422.3;blue;blue
2444.7;2;1378.3;2444.7;blue;blue
2453;4;2288.5;2453;blue;blue
2591.2;2;2474.7;2591.2;blue;blue
2697.1;0;2452.3;2697.1;blue;blue
2721.6;4;2483;2721.6;blue;blue
2747.6;0;2727.1;2747.6;blue;blue
3063.8;9;36;3063.8;blue;blue
3109.5;2;2621.2;3109.5;blue;blue
3133;8;1555.3;3133;blue;blue
3219.8;4;2751.6;3219.8;blue;blue
3259.8;4;3249.8;3259.8;blue;blue
3291.3;4;3289.8;3291.3;blue;blue
3301.6;2;3139.5;3301.6;blue;blue
3324.9;0;2777.6;3324.9;blue;blue
3355.1;0;3354.9;3355.1;blue;blue
3387.9;0;3385.1;3387.9;blue;blue
3433.1;10;1918.2;3433.1;blue;blue
3504.9;6;1507.6;3504.9;blue;blue
