time;id;creation;conclusion;client_color;server_color
1221.7;13;0;1221.7;blue;blue
1613.5;11;0;1613.5;blue;blue
1646.6;11;1643.5;1646.6;blue;blue
1832.6;13;1251.7;1832.6;blue;blue
1941.3;13;1862.6;1941.3;blue;blue
2061.6;13;1971.3;2061.6;blue;blue
2184.9;13;2091.6;2184.9;blue;blue
2722.7;13;2214.9;2722.7;blue;blue
2821.4;13;2752.7;2821.4;blue;blue
2953.5;13;2851.4;2953.5;blue;blue
3349.1;11;1676.6;3349.1;blue;blue
3377;13;2983.5;3377;blue;blue
3418.7;13;3407;3418.7;blue;blue
3495.2;13;3448.7;3495.2;blue;blue
