time;id;creation;conclusion;client_color;server_color
44.8;15;0;44.8;blue;blue
182.9;3;0;182.9;blue;blue
215;3;212.9;215;blue;blue
410.5;3;245;410.5;blue;blue
1087.6;15;74.8;1087.6;blue;blue
1275.3;15;1117.6;1275.3;blue;blue
1438.7;3;440.5;1438.7;blue;blue
1731.2;15;1305.3;1731.2;blue;blue
1799.5;3;1468.7;1799.5;blue;blue
2453.7;15;1761.2;2453.7;blue;blue
2484;15;2483.7;2484;blue;blue
2764.8;3;1829.5;2764.8;blue;blue
2796.5;3;2794.8;2796.5;blue;blue
2931.4;3;2826.5;2931.4;blue;blue
3184;15;2514;3184;blue;blue
