time;id;creation;conclusion;client_color;server_color
49.3;7;0;49.3;blue;blue
1857.8;7;79.3;1857.8;blue;blue
1931;15;0;1931;blue;blue
2157.6;7;1887.8;2157.6;blue;blue
2192.2;15;1961;2192.2;blue;blue
2222.4;15;2222.2;2222.4;blue;blue
2639.5;7;2187.6;2639.5;blue;blue
2677;7;2669.5;2677;blue;blue
2797.3;7;2707;2797.3;blue;blue
2816.4;15;2252.4;2816.4;blue;blue
2852.1;7;2827.3;2852.1;blue;blue
3019.2;7;2882.1;3019.2;blue;blue
3103;7;3049.2;3103;blue;blue
3133;7;3133;3133;blue;blue
3197.6;4;0;3197.6;blue;blue
3236.4;4;3227.6;3236.4;blue;blue
