time;id;creation;conclusion;client_color;server_color
119.2;0;0;119.2;blue;blue
295.6;3;0;295.6;blue;blue
493.4;0;149.3;493.4;blue;blue
799.6;0;523.4;799.6;blue;blue
965.1;14;0;965.1;blue;blue
1148.4;3;325.6;1148.4;blue;blue
1333.9;3;1178.4;1333.9;blue;blue
1497;0;829.6;1497;blue;blue
1827.1;14;995.1;1827.1;blue;blue
1906.4;14;1857.1;1906.4;blue;blue
2105.6;3;1363.9;2105.6;blue;blue
2368.6;3;2135.6;2368.6;blue;blue
2386.4;14;1936.4;2386.4;blue;blue
2770;3;2398.6;2770;blue;blue
3042.6;3;2800;3042.6;blue;blue
3105.6;3;3072.6;3105.6;blue;blue
3141.9;3;3135.6;3141.9;blue;blue
